Ідентифікатор тендера;Кіль-ть лотів
UA-2016-04-20-000367-b;1
UA-2016-04-20-000466-b;1
UA-2016-04-20-000536-b;1
UA-2016-04-20-000542-b;1
UA-2016-04-21-000016-a;1
UA-2016-04-21-000023-a;1
UA-2016-04-21-000052-a;1
UA-2016-04-21-000054-c;8
UA-2016-04-21-000057-a;9
UA-2016-04-21-000060-b;1
UA-2016-04-21-000071-a;2
UA-2016-04-21-000080-c;1
UA-2016-04-21-000082-c;1
UA-2016-04-21-000090-c;1
UA-2016-04-21-000281-b;1
UA-2016-04-21-000404-b;1
UA-2016-04-21-000446-b;2
UA-2016-04-21-000473-b;2
UA-2016-04-21-000509-b;1
UA-2016-04-21-000513-b;1
UA-2016-04-22-000052-c;1
UA-2016-04-22-000061-a;1
UA-2016-04-22-000062-c;1
UA-2016-04-22-000064-c;1
UA-2016-04-22-000067-c;1
UA-2016-04-22-000078-c;1
UA-2016-04-22-000079-a;1
UA-2016-04-22-000080-a;1
UA-2016-04-22-000239-b;1
UA-2016-04-22-000255-b;1
UA-2016-04-22-000322-b;1
UA-2016-04-22-000356-b;1
UA-2016-04-22-000449-b;1
UA-2016-04-22-000555-b;1
UA-2016-04-22-000569-b;1
UA-2016-04-25-000010-c;1
UA-2016-04-25-000011-c;1
UA-2016-04-25-000012-c;1
UA-2016-04-25-000014-c;1
UA-2016-04-25-000015-c;1
UA-2016-04-25-000023-b;1
UA-2016-04-25-000027-b;1
UA-2016-04-25-000083-b;1
UA-2016-04-25-000087-a;2
UA-2016-04-25-000124-a;3
UA-2016-04-25-000200-a;3
UA-2016-04-25-000201-a;1
UA-2016-04-25-000210-b;1
UA-2016-04-25-000279-b;9
UA-2016-04-25-000290-b;1
UA-2016-04-25-000309-b;1
UA-2016-04-25-000331-b;1
UA-2016-04-25-000354-b;2
UA-2016-04-25-000380-b;1
UA-2016-04-25-000408-b;1
UA-2016-04-25-000409-b;3
UA-2016-04-25-000416-b;1
UA-2016-04-25-000418-b;2
UA-2016-04-26-000014-b;1
UA-2016-04-26-000015-b;1
UA-2016-04-26-000016-b;1
UA-2016-04-26-000020-a;1
UA-2016-04-26-000022-a;1
UA-2016-04-26-000034-c;1
UA-2016-04-26-000057-a;4
UA-2016-04-26-000069-a;1
UA-2016-04-26-000070-a;1
UA-2016-04-26-000082-b;2
UA-2016-04-26-000083-b;5
UA-2016-04-26-000087-c;1
UA-2016-04-26-000088-c;1
UA-2016-04-26-000097-c;1
UA-2016-04-26-000432-b;1
UA-2016-04-26-000439-b;1
UA-2016-04-26-000507-b;3
UA-2016-04-27-000002-b;1
UA-2016-04-27-000010-b;3
UA-2016-04-27-000014-c;1
UA-2016-04-27-000032-b;1
UA-2016-04-27-000036-c;1
UA-2016-04-27-000055-a;1
UA-2016-04-27-000055-c;1
UA-2016-04-27-000056-a;3
UA-2016-04-27-000058-a;1
UA-2016-04-27-000062-a;1
UA-2016-04-27-000064-c;1
UA-2016-04-27-000065-c;1
UA-2016-04-27-000066-c;3
UA-2016-04-27-000079-c;1
UA-2016-04-27-000082-c;1
UA-2016-04-27-000110-a;1
UA-2016-04-27-000202-b;1
UA-2016-04-27-000232-b;2
UA-2016-04-27-000428-b;1
UA-2016-04-27-000447-b;1
UA-2016-04-27-000462-b;1
UA-2016-04-27-000472-b;2
UA-2016-04-27-000490-b;3
UA-2016-04-27-000497-b;4
UA-2016-04-27-000504-b;1
UA-2016-04-28-000003-b;1
UA-2016-04-28-000006-a;1
UA-2016-04-28-000016-b;1
UA-2016-04-28-000028-a;1
UA-2016-04-28-000060-c;1
UA-2016-04-28-000070-a;1
UA-2016-04-28-000075-c;1
UA-2016-04-28-000077-c;1
UA-2016-04-28-000080-c;1
UA-2016-04-28-000081-a;1
UA-2016-04-28-000083-c;1
UA-2016-04-28-000084-c;1
UA-2016-04-28-000085-c;1
UA-2016-04-28-000094-a;1
UA-2016-04-28-000097-a;1
UA-2016-04-28-000098-a;1
UA-2016-04-28-000099-a;1
UA-2016-04-28-000103-a;1
UA-2016-04-28-000104-b;1
UA-2016-04-28-000106-a;1
UA-2016-04-28-000107-a;1
UA-2016-04-28-000108-a;1
UA-2016-04-28-000111-a;1
UA-2016-04-28-000113-a;1
UA-2016-04-28-000116-a;1
UA-2016-04-28-000120-a;1
UA-2016-04-28-000143-b;1
UA-2016-04-28-000149-b;1
UA-2016-04-28-000172-b;1
UA-2016-04-28-000414-b;5
UA-2016-04-28-000457-b;1
UA-2016-04-28-000493-b;1
UA-2016-04-28-000497-b;1
UA-2016-04-28-000514-b;1
UA-2016-04-28-000523-b;1
UA-2016-04-28-000532-b;1
UA-2016-04-28-000548-b;1
UA-2016-04-28-000552-b;1
UA-2016-04-28-000563-b;1
UA-2016-04-28-000566-b;1
UA-2016-04-29-000004-b;1
UA-2016-04-29-000007-a;1
UA-2016-04-29-000007-c;1
UA-2016-04-29-000012-c;1
UA-2016-04-29-000014-b;1
UA-2016-04-29-000017-a;1
UA-2016-04-29-000032-b;1
UA-2016-04-29-000035-b;1
UA-2016-04-29-000042-b;1
UA-2016-04-29-000043-a;1
UA-2016-04-29-000051-b;1
UA-2016-04-29-000060-a;1
UA-2016-04-29-000061-c;1
UA-2016-04-29-000065-c;1
UA-2016-04-29-000072-b;1
UA-2016-04-29-000074-b;1
UA-2016-04-29-000076-c;1
UA-2016-04-29-000089-b;1
UA-2016-04-29-000092-a;1
UA-2016-04-29-000094-c;1
UA-2016-04-29-000099-b;1
UA-2016-04-29-000110-a;4
UA-2016-04-29-000115-c;1
UA-2016-04-29-000120-c;2
UA-2016-04-29-000121-c;1
UA-2016-04-29-000122-b;1
UA-2016-04-29-000122-c;1
UA-2016-04-29-000128-b;1
UA-2016-04-29-000132-b;1
UA-2016-04-29-000135-b;1
UA-2016-04-29-000165-a;1
UA-2016-04-29-000170-a;1
UA-2016-04-29-000170-b;1
UA-2016-04-29-000173-a;1
UA-2016-04-29-000178-a;1
UA-2016-04-29-000185-a;1
UA-2016-04-29-000186-b;1
UA-2016-04-29-000187-a;1
UA-2016-04-29-000195-a;1
UA-2016-04-29-000224-b;1
